------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 2 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
3884.740860 1.073167 2.325316 0.975396 -1.229788 0.005173 0.821251 -0.120482 -0.004052 0.046381 -0.612762 -0.000774 0.409423
3913.650850 1.066446 2.305519 0.972779 -1.215625 0.004625 0.851588 -0.123683 -0.003412 0.047391 -0.606879 -0.000526 0.425298
3942.560840 1.059740 2.285794 0.970162 -1.202404 0.003933 0.881644 -0.127069 -0.002749 0.048636 -0.601454 -0.000327 0.441149
3971.470830 1.053073 2.266266 0.967543 -1.189988 0.003098 0.912434 -0.130624 -0.002061 0.049766 -0.596419 -0.000176 0.457308
4000.380820 1.046429 2.246859 0.964923 -1.178261 0.002119 0.942933 -0.134338 -0.001348 0.051137 -0.591719 -0.000072 0.473437
4029.290810 1.039805 2.227568 0.962300 -1.167115 0.000998 0.974188 -0.138197 -0.000609 0.052396 -0.587302 -0.000014 0.489884
4058.200800 1.033213 2.208447 0.959674 -1.156451 -0.000266 1.005144 -0.142190 0.000157 0.053903 -0.583119 -0.000001 0.506299
4087.110790 1.026631 2.189384 0.957048 -1.146188 -0.001673 1.036879 -0.146306 0.000950 0.055301 -0.579131 -0.000032 0.523038
4116.020780 1.020082 2.170505 0.954417 -1.136239 -0.003222 1.068307 -0.150534 0.001771 0.056953 -0.575296 -0.000106 0.539743
4144.930770 1.013541 2.151680 0.951783 -1.126542 -0.004914 1.100536 -0.154865 0.002622 0.058498 -0.571583 -0.000223 0.556779
4173.840760 1.007019 2.132967 0.949144 -1.117030 -0.006750 1.132448 -0.159288 0.003503 0.060311 -0.567962 -0.000381 0.573778
4202.750750 1.000512 2.114349 0.946502 -1.107646 -0.008730 1.165185 -0.163794 0.004414 0.062013 -0.564403 -0.000582 0.591115
4231.660740 0.994014 2.095796 0.943858 -1.098343 -0.010855 1.197593 -0.168374 0.005358 0.064000 -0.560885 -0.000823 0.608411
4260.570730 0.987532 2.077354 0.941206 -1.089072 -0.013126 1.230852 -0.173019 0.006333 0.065873 -0.557382 -0.001104 0.626053
4289.480720 0.981054 2.058945 0.938552 -1.079796 -0.015545 1.263770 -0.177722 0.007343 0.068043 -0.553879 -0.001425 0.643648
4318.390710 0.974587 2.040634 0.935890 -1.070476 -0.018111 1.297562 -0.182471 0.008386 0.070102 -0.550356 -0.001786 0.661595
4347.300700 0.968124 2.022365 0.933224 -1.061084 -0.020828 1.331002 -0.187260 0.009465 0.072470 -0.546799 -0.002186 0.679491
4376.210690 0.961666 2.004156 0.930553 -1.051591 -0.023696 1.365334 -0.192081 0.010580 0.074731 -0.543194 -0.002625 0.697745
4405.120680 0.955211 1.985997 0.927874 -1.041972 -0.026717 1.399308 -0.196924 0.011732 0.077312 -0.539530 -0.003102 0.715942
4434.030670 0.948758 1.967862 0.925191 -1.032205 -0.029894 1.434188 -0.201781 0.012923 0.079791 -0.535796 -0.003618 0.734500
4462.940660 0.942305 1.949790 0.922499 -1.022274 -0.033228 1.468704 -0.206644 0.014153 0.082600 -0.531983 -0.004171 0.752998
4491.850650 0.935852 1.931732 0.919802 -1.012161 -0.036721 1.504145 -0.211505 0.015422 0.085311 -0.528083 -0.004763 0.771860
4520.760640 0.929395 1.913709 0.917095 -1.001854 -0.040376 1.539204 -0.216354 0.016733 0.088369 -0.524092 -0.005393 0.790654
4549.670630 0.922933 1.895702 0.914382 -0.991342 -0.044195 1.575214 -0.221185 0.018087 0.091330 -0.520002 -0.006060 0.809817
4578.580620 0.916466 1.877712 0.911661 -0.980614 -0.048181 1.610821 -0.225987 0.019484 0.094656 -0.515809 -0.006764 0.828902
4607.490610 0.909991 1.859736 0.908929 -0.969666 -0.052337 1.647404 -0.230752 0.020925 0.097886 -0.511511 -0.007507 0.848362
4636.400600 0.903513 1.841764 0.906193 -0.958487 -0.056665 1.683562 -0.235470 0.022412 0.101500 -0.507103 -0.008287 0.867733
4665.310590 0.897021 1.823795 0.903443 -0.947080 -0.061169 1.720720 -0.240133 0.023946 0.105020 -0.502586 -0.009104 0.887483
4694.220580 0.890523 1.805825 0.900688 -0.935435 -0.065852 1.757438 -0.244731 0.025528 0.108941 -0.497955 -0.009959 0.907134
4723.130570 0.884011 1.787849 0.897921 -0.923557 -0.070718 1.795166 -0.249254 0.027159 0.112776 -0.493213 -0.010851 0.927164
4752.040560 0.877487 1.769864 0.895145 -0.911443 -0.075769 1.832442 -0.253692 0.028841 0.117026 -0.488359 -0.011781 0.947086
4780.950550 0.870954 1.751871 0.892361 -0.899093 -0.081011 1.870740 -0.258034 0.030575 0.121200 -0.483391 -0.012749 0.967386
4809.860540 0.864398 1.733853 0.889561 -0.886514 -0.086446 1.908572 -0.262273 0.032362 0.125804 -0.478315 -0.013755 0.987569
4838.770530 0.857835 1.715825 0.886757 -0.873703 -0.092080 1.947439 -0.266391 0.034203 0.130339 -0.473128 -0.014799 1.008127
4867.680520 0.851246 1.697757 0.883934 -0.860672 -0.097916 1.985821 -0.270385 0.036101 0.135324 -0.467838 -0.015881 1.028557
4896.590510 0.844646 1.679673 0.881104 -0.847419 -0.103959 2.025255 -0.274237 0.038055 0.140247 -0.462441 -0.017001 1.049362
4925.500500 0.838028 1.661560 0.878263 -0.833952 -0.110213 2.064177 -0.277936 0.040069 0.145643 -0.456944 -0.018160 1.070023
4954.410490 0.831387 1.643408 0.875407 -0.820281 -0.116685 2.104172 -0.281472 0.042143 0.150982 -0.451351 -0.019358 1.091060
4983.320480 0.824734 1.625234 0.872545 -0.806407 -0.123377 2.143625 -0.284826 0.044279 0.156817 -0.445662 -0.020594 1.111935
5012.230470 0.818048 1.607000 0.869661 -0.792349 -0.130298 2.184172 -0.287994 0.046479 0.162603 -0.439889 -0.021870 1.133185
5041.140460 0.811351 1.588748 0.866771 -0.778104 -0.137450 2.224151 -0.290951 0.048743 0.168907 -0.434028 -0.023185 1.154257
5070.050450 0.804625 1.570438 0.863863 -0.763691 -0.144842 2.265234 -0.293690 0.051075 0.175173 -0.428091 -0.024540 1.175700
5098.960440 0.797879 1.552089 0.860944 -0.749114 -0.152478 2.305727 -0.296192 0.053474 0.181980 -0.422080 -0.025935 1.196949
5127.870430 0.791112 1.533696 0.858011 -0.734386 -0.160365 2.347331 -0.298440 0.055945 0.188762 -0.416001 -0.027370 1.218561
5156.780420 0.784315 1.515242 0.855060 -0.719522 -0.168510 2.388323 -0.300422 0.058487 0.196107 -0.409864 -0.028846 1.239962
5185.690410 0.777506 1.496766 0.852103 -0.704526 -0.176918 2.430433 -0.302110 0.061103 0.203441 -0.403670 -0.030362 1.261719
5214.600400 0.770655 1.478201 0.849120 -0.689421 -0.185600 2.471907 -0.303502 0.063795 0.211362 -0.397434 -0.031920 1.283248
5243.510390 0.763792 1.459612 0.846131 -0.674212 -0.194559 2.514509 -0.304563 0.066564 0.219285 -0.391156 -0.033519 1.305125
5272.420380 0.756894 1.440959 0.843121 -0.658919 -0.203805 2.556442 -0.305283 0.069414 0.227824 -0.384850 -0.035160 1.326751
5301.330370 0.749972 1.422253 0.840096 -0.643553 -0.213345 2.599516 -0.305637 0.072345 0.236378 -0.378522 -0.036843 1.348718
5330.240360 0.743030 1.403503 0.837059 -0.628128 -0.223187 2.641884 -0.305600 0.075359 0.245579 -0.372179 -0.038568 1.370409
5359.150350 0.736049 1.384676 0.833998 -0.612664 -0.233343 2.685408 -0.305159 0.078460 0.254808 -0.365837 -0.040337 1.392433
5388.060340 0.729055 1.365824 0.830929 -0.597172 -0.243815 2.728189 -0.304275 0.081649 0.264715 -0.359498 -0.042147 1.414156
5416.970330 0.722018 1.346884 0.827834 -0.581674 -0.254622 2.772135 -0.302940 0.084928 0.274668 -0.353181 -0.044002 1.436201
5445.880320 0.714964 1.327909 0.824728 -0.566182 -0.265764 2.815307 -0.301112 0.088300 0.285329 -0.346890 -0.045899 1.457920
5474.790310 0.707880 1.308871 0.821602 -0.550717 -0.277258 2.859646 -0.298772 0.091766 0.296056 -0.340641 -0.047841 1.479946
5503.700300 0.700765 1.289774 0.818456 -0.535298 -0.289111 2.903178 -0.295889 0.095331 0.307524 -0.334446 -0.049827 1.501620
5532.610290 0.693632 1.270642 0.815298 -0.519942 -0.301332 2.947880 -0.292426 0.098994 0.319078 -0.328317 -0.051856 1.523584
5561.520280 0.686455 1.251431 0.812111 -0.504672 -0.313937 2.991741 -0.288364 0.102760 0.331408 -0.322271 -0.053930 1.545168
5590.430270 0.679268 1.232200 0.808918 -0.489505 -0.326930 3.036775 -0.283649 0.106629 0.343846 -0.316318 -0.056048 1.567027
5619.340260 0.662991 1.215747 0.805695 -0.478874 -0.337269 3.080912 -0.281557 0.109093 0.357125 -0.312984 -0.057446 1.588472
5648.250250 0.642425 1.200737 0.802455 -0.470550 -0.345960 3.126152 -0.280371 0.110718 0.370661 -0.311036 -0.058383 1.610173
5677.160240 0.622177 1.185705 0.799197 -0.462309 -0.354432 3.170384 -0.278332 0.112223 0.385197 -0.309224 -0.059215 1.631423
5706.070230 0.483726 0.997969 0.725625 -0.466408 -0.397636 3.216051 -0.394245 0.114609 0.400195 -0.336138 -0.061091 1.653049
5734.980220 0.479035 0.987167 0.724402 -0.448740 -0.408656 3.261803 -0.381096 0.117762 0.417036 -0.329266 -0.062416 1.674703
5763.890210 0.474371 0.976437 0.723178 -0.431546 -0.419792 3.308083 -0.366655 0.120939 0.434388 -0.322672 -0.063727 1.696348
5792.800200 0.459173 0.946661 0.717880 -0.413662 -0.437194 3.354024 -0.366097 0.124758 0.452629 -0.318943 -0.065417 1.717694
5821.710190 0.440968 0.911369 0.711255 -0.394595 -0.457203 3.400729 -0.369509 0.128813 0.471591 -0.316073 -0.067190 1.739095
5850.620180 0.423241 0.876949 0.704631 -0.374526 -0.477837 3.447258 -0.371789 0.132880 0.491652 -0.313213 -0.068898 1.760226
5879.530170 0.405987 0.843396 0.698006 -0.353376 -0.499092 3.494591 -0.372700 0.136944 0.512541 -0.310382 -0.070529 1.781381
5908.440160 0.389195 0.810692 0.691381 -0.331061 -0.520962 3.541760 -0.371984 0.140990 0.534649 -0.307606 -0.072068 1.802225
5937.350150 0.372861 0.778825 0.684756 -0.307487 -0.543432 3.589768 -0.369326 0.144999 0.557708 -0.304917 -0.073503 1.823054
5966.260140 0.356978 0.747787 0.678131 -0.282552 -0.566482 3.637629 -0.364360 0.148950 0.582121 -0.302352 -0.074817 1.843522
5995.170130 0.311858 0.667541 0.641606 -0.234270 -0.620920 3.687074 -0.434869 0.154101 0.608566 -0.308473 -0.076931 1.864104
6024.080120 0.307695 0.654296 0.638467 -0.210627 -0.637340 3.736781 -0.398342 0.158209 0.636310 -0.302601 -0.077872 1.884396
6052.990110 0.303569 0.641218 0.635328 -0.187697 -0.653901 3.786752 -0.358914 0.162316 0.665127 -0.297460 -0.078760 1.904384
6081.900100 0.299481 0.628309 0.632189 -0.165554 -0.670578 3.836641 -0.316408 0.166415 0.695169 -0.293118 -0.079590 1.923935
6110.810090 0.295428 0.615563 0.629050 -0.144274 -0.687352 3.886756 -0.270643 0.170499 0.726361 -0.289652 -0.080357 1.943123
6139.720080 0.291414 0.602987 0.625912 -0.123945 -0.704189 3.936746 -0.221420 0.174557 0.758859 -0.287142 -0.081056 1.961808
6168.630070 0.257526 0.498335 0.611164 0.008902 -0.842281 3.989554 -0.268655 0.196665 0.793463 -0.277202 -0.090277 1.980480
6197.540060 0.259009 0.500913 0.611736 0.013251 -0.840392 4.042845 -0.189030 0.198319 0.829589 -0.277261 -0.089314 1.998691
6226.450050 0.260499 0.503497 0.612307 0.014365 -0.838600 4.095638 -0.108358 0.199954 0.866938 -0.278939 -0.088376 2.016260
6255.360040 0.261993 0.506091 0.612879 0.012184 -0.836899 4.147888 -0.026539 0.201569 0.905536 -0.282251 -0.087461 2.033157
6284.270030 0.263492 0.508693 0.613450 0.006648 -0.835286 4.199548 0.056525 0.203164 0.945413 -0.287214 -0.086570 2.049349
6313.180020 0.264997 0.511302 0.614021 -0.002304 -0.833764 4.250569 0.140923 0.204743 0.986597 -0.293843 -0.085701 2.064807
6342.090010 0.266507 0.513921 0.614593 -0.014738 -0.832325 4.300902 0.226749 0.206304 1.029117 -0.302160 -0.084854 2.079496
6371.000000 0.104151 0.203285 0.415164 1.452450 -1.593948 4.383485 0.312178 0.209441 1.084536 -0.313668 -0.083256 2.097018
